Ind_Ext,Force_Ext,Ind_Ret,Force_Ret,Ind_Away,Force_Away,Ind_Ext2,Force_Ext2,IndentXWave,IndentFitWave
-1.05E-06,-3.88E-10,-9.44E-09,-2.42E-09,-1.14E-06,6.22E-09,,,-1.05E-06,0
-1.05E-06,-4.98E-10,-1.04E-08,-2.60E-09,-1.14E-06,6.03E-09,,,-1.05E-06,0
-1.05E-06,-6.86E-10,-1.13E-08,-2.96E-09,-1.14E-06,5.87E-09,,,-1.05E-06,0
-1.05E-06,-7.27E-10,-1.23E-08,-2.88E-09,-1.14E-06,5.94E-09,,,-1.05E-06,0
-1.05E-06,-7.64E-10,-1.32E-08,-2.87E-09,-1.14E-06,6.24E-09,,,-1.05E-06,0
-1.05E-06,-8.57E-10,-1.41E-08,-3.13E-09,-1.14E-06,6.03E-09,,,-1.05E-06,0
-1.05E-06,-8.39E-10,-1.51E-08,-3.14E-09,-1.14E-06,5.68E-09,,,-1.05E-06,0
-1.05E-06,-8.43E-10,-1.61E-08,-2.82E-09,-1.14E-06,5.49E-09,,,-1.05E-06,0
-1.04E-06,-1.42E-09,-1.70E-08,-2.96E-09,-1.14E-06,5.42E-09,,,-1.04E-06,0
-1.04E-06,-1.54E-09,-1.80E-08,-3.08E-09,-1.14E-06,5.30E-09,,,-1.04E-06,0
-1.04E-06,-1.75E-09,-1.90E-08,-2.97E-09,-1.14E-06,5.15E-09,,,-1.04E-06,0
-1.04E-06,-1.85E-09,-2.00E-08,-2.75E-09,-1.14E-06,5.31E-09,,,-1.04E-06,0
-1.04E-06,-2.25E-09,-2.09E-08,-2.89E-09,-1.14E-06,5.39E-09,,,-1.04E-06,0
-1.04E-06,-2.38E-09,-2.19E-08,-2.79E-09,-1.14E-06,5.27E-09,,,-1.04E-06,0
-1.04E-06,-2.54E-09,-2.29E-08,-2.61E-09,-1.14E-06,5.33E-09,,,-1.04E-06,0
-1.04E-06,-2.68E-09,-2.39E-08,-2.28E-09,-1.14E-06,5.21E-09,,,-1.04E-06,0
-1.04E-06,-2.79E-09,-2.48E-08,-2.55E-09,-1.14E-06,5.15E-09,,,-1.04E-06,0
-1.03E-06,-3.08E-09,-2.58E-08,-2.89E-09,-1.14E-06,5.06E-09,,,-1.03E-06,0
-1.03E-06,-2.80E-09,-2.67E-08,-3.07E-09,-1.14E-06,4.84E-09,,,-1.03E-06,0
-1.03E-06,-2.48E-09,-2.77E-08,-3.28E-09,-1.14E-06,4.51E-09,,,-1.03E-06,0
-1.03E-06,-2.65E-09,-2.87E-08,-3.32E-09,-1.14E-06,4.54E-09,,,-1.03E-06,0
-1.03E-06,-2.53E-09,-2.97E-08,-3.17E-09,-1.14E-06,4.94E-09,,,-1.03E-06,0
-1.03E-06,-2.45E-09,-3.06E-08,-3.19E-09,-1.14E-06,4.77E-09,,,-1.03E-06,0
-1.03E-06,-2.14E-09,-3.16E-08,-3.13E-09,-1.14E-06,5.12E-09,,,-1.03E-06,0
-1.03E-06,-1.98E-09,-3.26E-08,-3.11E-09,-1.14E-06,5.73E-09,,,-1.03E-06,0
-1.03E-06,-1.78E-09,-3.36E-08,-3.17E-09,-1.14E-06,5.91E-09,,,-1.03E-06,0
-1.03E-06,-1.65E-09,-3.46E-08,-2.93E-09,-1.14E-06,5.99E-09,,,-1.03E-06,0
-1.02E-06,-1.69E-09,-3.56E-08,-3.00E-09,-1.14E-06,5.77E-09,,,-1.02E-06,0
-1.02E-06,-1.66E-09,-3.65E-08,-3.15E-09,-1.14E-06,5.92E-09,,,-1.02E-06,0
-1.02E-06,-1.52E-09,-3.75E-08,-3.22E-09,-1.14E-06,6.06E-09,,,-1.02E-06,0
-1.02E-06,-1.39E-09,-3.85E-08,-3.11E-09,-1.14E-06,6.10E-09,,,-1.02E-06,0
